Sentence,Word
Sentence: 1,Thousands
,of
,demonstrators
,have
,marched
,through
,London
,to
,protest
,the
,war
,in
,Iraq
,and
,demand
,the
,withdrawal
,of
,British
,troops
,from
,that
,country
,.
Sentence: 2,Families
,of
,soldiers
,killed
,in
,the
,conflict
,joined
,the
,protesters
,who
,carried
,banners
,with
,such
,slogans
,as
,""""
,Bush
,Number
,One
,Terrorist
,""""
,and
,""""
,Stop
,the
,Bombings
,.
,""""
Sentence: 3,They
,marched
,from
,the
,Houses
,of
,Parliament
,to
,a
,rally
,in
,Hyde
,Park
,.
Sentence: 4,Police
,put
,the
,number
,of
,marchers
,at
,"10,000"
,while
,organizers
,claimed
,it
,was
,"1,00,000"
,.
Sentence: 5,The
,protest
,comes
,on
,the
,eve
,of
,the
,annual
,conference
,of
,Britain
,'s
,ruling
,Labor
,Party
,in
,the
,southern
,English
,seaside
,resort
,of
,Brighton
,.
Sentence: 6,The
,party
,is
,divided
,over
,Britain
,'s
,participation
,in
,the
,Iraq
,conflict
,and
,the
,continued
,deployment
,of
,"8,500"
,British
,troops
,in
,that
,country
,.
Sentence: 7,The
,London
,march
,came
,ahead
,of
,anti-war
,protests
,today
,in
,other
,cities
,","
,including
,Rome
,","
,Paris
,","
,and
,Madrid
,.
Sentence: 8,The
,International
,Atomic
,Energy
,Agency
,is
,to
,hold
,second
,day
,of
,talks
,in
,Vienna
,Wednesday
,on
,how
,to
,respond
,to
,Iran
,'s
,resumption
,of
,low-level
,uranium
,conversion
,.
Sentence: 9,Iran
,this
,week
,restarted
,parts
,of
,the
,conversion
,process
,at
,its
,Isfahan
,nuclear
,plant
,.
Sentence: 10,Iranian
,officials
,say
,they
,expect
,to
,get
,access
,to
,sealed
,sensitive
,parts
,of
,the
,plant
,Wednesday
,","
,after
,an
,IAEA
,surveillance
,system
,begins
,functioning
,.
Sentence: 11,The
,step
,will
,allow
,the
,facility
,to
,operate
,at
,full
,capacity
,.
Sentence: 12,The
,European
,Union
,","
,with
,U.S.
,backing
,","
,has
,threatened
,to
,refer
,Iran
,to
,the
,U.N.
,Security
,Council
,","
,which
,could
,impose
,sanctions
,if
,it
,finds
,Tehran
,has
,violated
,the
,Nuclear
,Non-Proliferation
,treaty
,.
Sentence: 13,Iran
,'s
,new
,President
,Mahmoud
,Ahmadinejad
,said
,Tuesday
,that
,European
,incentives
,aimed
,at
,persuading
,Iran
,to
,end
,its
,nuclear
,fuel
,program
,are
,an
,insult
,to
,the
,Iranian
,nation
,.
Sentence: 14,Two
,Germans
,and
,four
,Nigerian
,oil
,workers
,were
,kidnapped
,by
,armed
,militants
,during
,a
,raid
,on
,a
,boat
,in
,Nigeria
,'s
,southern
,oil-rich
,Delta
,region
,.
Sentence: 15,An
,official
,with
,the
,German
,firm
,Bilfinger
,Berger
,","
,Thomas
,Horbach
,","
,said
